filename,description,tone,density,mood,scale,rhythm
music_sample_1,"Grounding, answers. Synth tones at beginning lead into textured spacious atmosphere.",warm,sparse,soothing,major,arhythmic
music_sample_2,"Searching, seeking feel. Rising digital arp turns into a wash of notes.",netural,moderate,neutral,minor,mixed
music_sample_3,Clarity followed by curious feel. Arp begins then transitions into wash of many layers of delayed notes.,netural,moderate,neutral,major,mixed
music_sample_4,"Subconscious, subdued feel. Gentle notes begin then dusty granular shifting drone.",cool,sparse,neutral,minor,arhythmic
music_sample_5,"Questioning, wondering feel. Arp begins then transitions into long droning notes.",netural,moderate,neutral,major,mixed
music_sample_6,Mellow but inquisitive feel. Long dusty crushed chord flourishes.,cool,sparse,soothing,minor,arhythmic
music_sample_7,Disjointed yet calm feel. Minimal synth tones with lots of space between.,cool,sparse,neutral,minor,arhythmic
music_sample_8,Darker yet relaxed feel. Lo Fi Music box kind of feel with bell like tones.,cool,moderate,soothing,major,arhythmic
music_sample_9,Reaching unstable feel. Strong monophonic synth melody with lots of delay and texture beneath.,netural,moderate,intense,minor,arhythmic
music_sample_10,Upbeat energetic feel. Minimal synth art bounce along gently.,warm,moderate,neutral,major,strong pulse
music_sample_11,Dreamy yet energetic. Minimal synth arp with delay chugs along.,warm,moderate,neutral,major,strong pulse
music_sample_12,Ungrounded yet beautiful. Synth notes unsteadily granulate. ,warm,moderate,neutral,major,arhythmic
music_sample_13,"Expansive and digital. Notes pluck with massive reverb, like a giant digital cavern.",netural,moderate,intense,minor,arhythmic
music_sample_14,Stuck in a swarm. A droning granular note with some digital filtration.,netural,moderate,intense,major,arhythmic
music_sample_15,Random glitchiness. Staticy bits and clicks and synth notes jump around.,netural,dense,intense,minor,arhythmic
music_sample_16,Holding pattern.  Digital grains stick on same note.,netural,moderate,intense,major,arhythmic
music_sample_17,Breaking down but holding on. Lofi synth notes click in and out of noisey texture.,cool,sparse,intense,minor,arhythmic
music_sample_18,Syncopated pulsing. Hi and low notes dance along to a repetitive pulse.,netural,moderate,neutral,major,strong pulse
music_sample_19,Muted bell orchestra. Synths knockout muted marimbas and metallophones.,netural,moderate,neutral,major,mixed
music_sample_20,Lonely and ponderous. Single sparse noise synth notes unfold.,cool,sparse,neutral,minor,arhythmic
music_sample_21,Sweet and small. Music box like notes plink along with nostalgia.,warm,sparse,soothing,major,arhythmic
music_sample_22,Liquid and floating. Synth notes play lightly like flying fairies.,warm,moderate,soothing,major,mixed
music_sample_23,Tiny insectoid. High frequency synth notes with random resonant filtrations.,netural,moderate,intense,major,arhythmic
music_sample_24,Rapid yet stuck. Arp notes underneath a single repeating dirty synth note.,cool,dense,intense,major,strong pulse
music_sample_25,Thinking alone with sudden flashes of ideas. Minimal synth arp with occasional bursts of spaciousness.,netural,moderate,neutral,major,strong pulse
music_sample_26,Time passing alone. A single synth arpeggios on alternating chords.,cool,moderate,neutral,minor,strong pulse
music_sample_27,A dark little synth wonders alone. An arp keeps trying to restart itself but falls apart.,cool,moderate,neutral,minor,arhythmic
music_sample_28,Insistent and determined. Fast paced arp synth.,cool,dense,intense,minor,strong pulse
music_sample_29,Confused but okay with it. Long delay cycle of a mix of icy and warm synth tones.,netural,dense,soothing,minor,arhythmic
music_sample_30,Feeling like a tiny electric angel. Plucked harp with strange reversed echoing notes.,warm,sparse,neutral,minor,arhythmic
music_sample_31,Feeling agitated. Quick little arp pounding at a tiny synth at a fast pulse.,netural,dense,intense,minor,strong pulse
music_sample_32,Sitting in kalidoscope of a bamboo garden. Plinking wooden synthy tones with long washy echo.,cool,dense,neutral,minor,arhythmic
music_sample_33,Dreamy synthy bell like tones gently explore.,cool,sparse,soothing,minor,arhythmic
music_sample_34,Wild and uncharted. Noisey sweeps and unfettered notes slowly shift.,netural,moderate,intense,major,arhythmic
music_sample_35,Malfunctioning and erratic but still cheery. Lofi noisey synth tones start and stop almost to a rhythm.,netural,moderate,intense,major,arhythmic
music_sample_36,Wandering through a dark labyrinth. Muted stabby artp starts and stops over a quiet melodic synth.,cool,moderate,intense,minor,strong pulse
music_sample_37,Gentle but strange. Notes click and throb beneath a noisy wash.,cool,moderate,intense,minor,arhythmic
music_sample_38,Tiny electric train moves through a giant tunnel.  Spacicious echo-y and noisy synths chug along.,cool,moderate,neutral,minor,arhythmic
music_sample_39,Bamboo synths plink away insistently jumping back and forth to different times and places.,cool,moderate,intense,minor,arhythmic
music_sample_40,Feeling activated but okay about it all. Muted synth arp pulses with a messy rhythm.,netural,moderate,soothing,minor,arhythmic
music_sample_41,Nostalgic strange cheer. Synths and a glockenspiel pulse through wavering tape noise,warm,dense,soothing,minor,strong pulse
music_sample_42,Break of day. Single piano gently repeats with occasional piano chord flourishes on top.,warm,sparse,neutral,major,mixed
music_sample_43,Anticipation of what's to come. Synth Notes with side chain gate pulses along,warm,moderate,intense,major,strong pulse
music_sample_44,Breaking and unstable. Notes shift up and down and get noisey and bloopy with confusion.,netural,dense,intense,minor,arhythmic
music_sample_45,Feeling stuck. Noisey loop of lofi broken synths.,cool,moderate,intense,minor,arhythmic
music_sample_46,Feels hopeful yet nowhere. Noisey loop of some plucking strings and synths.,warm,moderate,intense,major,arhythmic
music_sample_47,"Suspended in the strange and wondrous. Tiny piano loops, little snips of sped up voices, washy noise.",warm,dense,intense,major,strong pulse
music_sample_48,Open up to the Epic. Droning chiming choir abstracts outwards.,netural,sparse,intense,major,arhythmic
music_sample_49,"Tiny noisey countryside. Chirping, strumming and sped up plucks and clicks.",warm,dense,intense,minor,arhythmic
music_sample_50,Morse code music. Typing out some random clicky pitches.,warm,moderate,intense,minor,arhythmic
music_sample_51,Feeling a bit blurry and overwhelmed. Barely recognizable piano granulations. ,netural,dense,intense,minor,arhythmic
music_sample_52,Feeling energized and a bit wild. Strange pulsing piano notes and echoed scrapings.,netural,dense,intense,minor,strong pulse
music_sample_53,Expansive and chirpy. Reveberant synths and hi frequency chirps washout.,netural,dense,intense,minor,arhythmic
